R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Derrick Lewis,Ciryl Gane,+250,-320,+250,31.25,2021-08-07,"Houston, Texas, USA",USA,Blue,True,Heavyweight,MALE,5,0,6,0,5.37,0.57,0.3,0.71,0.2,6,0,19,0,0,0,3,1,2,0,6,Orthodox,193.04,205.74,245,0,4,0,2.49,0.5,0.0,0.49,0.25,6,5,48,1,0,2,2,12,0,0,16,Orthodox,190.5,200.66,260,36,31,0,2,0,-10,-5,-29,-1,-11,2,2.539999999999992,5.0800000000000125,-5,2.88,0.3,0.2199999999999999,0,1,3.0,2.0,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,Red,KO/TKO,Punches,3,4:11,851,+1400,+215,+2200,+600,+330,+120
Jose Aldo,Pedro Munhoz,-105,-115,95.23809523809523,86.95652173913044,2021-08-07,"Houston, Texas, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,5.55,0.43,0.7,0.62,0.21,4,5,34,0,0,0,3,3,3,0,9,Orthodox,167.64,165.1,135,0,1,0,3.63,0.45,0.1,0.55,0.56,15,6,76,12,0,0,8,11,0,0,19,Orthodox,170.18,177.8,135,34,34,0,0,-11,-10,-1,-42,-12,-8,3,-2.539999999999992,-12.700000000000015,0,1.92,0.6,0.0699999999999999,0,1,9.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,9.0,,,Red,U-DEC,,3,5:00,900,+150,+225,+1600,+900,+450,+450
Michael Chiesa,Vicente Luque,-115,-105,86.95652173913044,95.23809523809523,2021-08-07,"Houston, Texas, USA",USA,Blue,False,Welterweight,MALE,3,0,3,0,5.65,0.54,1.0,0.64,0.5,6,3,31,0,0,1,0,8,4,0,13,Orthodox,180.34,190.5,170,0,4,0,1.87,0.4,1.1,3.62,0.53,4,4,35,0,0,0,5,0,6,0,11,Southpaw,185.42,190.5,170,33,29,0,-1,2,2,-1,-4,0,8,-2,-5.0800000000000125,0.0,-4,3.78,-0.1,-2.98,0,1,6.0,5.0,,,,,,,,5.0,,,,,,,,,,,,,6.0,,,,,,Red,SUB,D'Arce Choke,1,3:25,205,+225,+300,+350,+650,+900,+300
Tecia Torres,Angela Hill,-160,+140,62.5,+140,2021-08-07,"Houston, Texas, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,1,0,5.71,0.5,0.1,0.54,0.34,3,9,48,0,0,0,6,2,0,0,8,Orthodox,160.02,162.56,115,0,2,0,4.71,0.48,0.1,0.71,0.15,3,5,36,0,0,0,6,1,1,0,8,Orthodox,154.94,152.4,115,31,36,0,-1,0,0,4,12,0,1,-1,5.0800000000000125,10.159999999999997,5,1.0,0.0,-0.1699999999999999,0,1,12.0,10.0,,,10.0,,,,,,,,,,,,,12.0,,,,,,,,,,,Red,U-DEC,,3,5:00,900,-105,+180,+1000,+2000,+1100,+750
Song Yadong,Casey Kenney,+105,-125,+105,80.0,2021-08-07,"Houston, Texas, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,4.85,0.42,0.4,1.09,0.35,3,3,25,0,0,0,5,0,1,0,6,Southpaw,170.18,172.72,135,1,0,1,4.91,0.42,0.3,0.49,0.42,4,1,16,0,0,0,2,2,1,0,5,Orthodox,172.72,170.18,135,23,30,0,0,-1,1,2,9,0,-2,0,-2.539999999999992,2.539999999999992,7,-0.0600000000000005,0.1,0.6000000000000001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,+215,+165,+1100,+800,+350,+700
Bobby Green,Rafael Fiziev,+235,-300,+235,33.33333333333333,2021-08-07,"Houston, Texas, USA",USA,Blue,False,Lightweight,MALE,3,0,3,0,5.34,0.52,0.0,0.59,0.5,3,1,8,0,0,0,2,1,0,0,3,Switch,172.72,180.34,155,1,0,1,5.45,0.51,0.3,1.46,0.39,8,8,56,0,0,2,6,1,3,0,12,Orthodox,177.8,180.34,155,34,28,-1,3,-5,-9,-7,-48,0,0,-3,-5.0800000000000125,0.0,-6,-0.1100000000000003,-0.3,-0.87,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+400,+120,+2000,+1400,+1000,+175
Vince Morales,Drako Rodriguez,-110,-110,90.9090909090909,90.9090909090909,2021-08-07,"Houston, Texas, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,3.37,0.36,0.7,2.93,0.66,1,1,2,0,0,0,0,0,1,0,1,Orthodox,172.72,175.26,135,2,0,0,4.39,0.39,0.0,0.2,0.25,1,4,13,0,0,0,1,0,0,0,1,Orthodox,170.18,177.8,135,30,25,-1,0,0,0,-3,-11,0,0,1,2.539999999999992,-2.5400000000000205,-5,-1.0199999999999996,0.7,2.73,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+225,+275,+1000,+400,+350,+500
Alonzo Menifield,Ed Herman,-290,+230,34.48275862068966,+230,2021-08-07,"Houston, Texas, USA",USA,Red,False,Light Heavyweight,MALE,3,0,3,0,3.28,0.48,1.1,2.08,0.48,3,11,55,0,0,1,3,4,5,0,13,Orthodox,185.42,195.58,205,0,1,0,4.13,0.54,0.3,0.56,0.25,4,2,10,0,0,0,0,4,1,0,5,Orthodox,182.88,193.04,205,33,40,0,2,-1,8,9,45,0,0,4,2.5400000000000205,2.5400000000000205,7,-0.8500000000000001,0.8,1.52,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+500,+500,+1200,+800,-135,+700
Karolina Kowalkiewicz,Jessica Penne,-145,+125,68.96551724137932,+125,2021-08-07,"Houston, Texas, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,1,0,2.41,0.34,0.7,1.57,0.25,2,4,24,1,0,2,0,1,2,0,5,Orthodox,165.1,170.18,115,4,0,0,5.16,0.39,0.1,0.19,0.22,3,6,31,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,35,38,-4,1,-1,0,-2,-7,0,1,2,5.079999999999984,7.620000000000003,3,-2.75,0.6,1.38,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,4:32,272,-115,+200,+2000,+550,+1100,+1500
Manel Kape,Ode Osbourne,-200,+170,50.0,+170,2021-08-07,"Houston, Texas, USA",USA,Red,False,Flyweight,MALE,3,0,1,0,4.12,0.52,1.2,1.19,1.0,1,1,3,0,0,0,0,1,1,0,2,Southpaw,170.18,185.42,125,2,0,0,3.71,0.47,0.0,0.86,0.28,0,2,6,0,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,27,29,-2,1,1,2,-1,-3,0,1,1,5.0800000000000125,12.700000000000015,2,0.4100000000000001,1.2,0.3299999999999999,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Flying Knee,1,4:44,284,+240,+350,+1000,+1200,+140,+650
